timestamp,open,high,low,close
2025-01-10 09:15:00,25000.0,25026.2,25000.0,25021.8
2025-01-10 09:16:00,25012.2,25021.9,25010.0,25014.9
2025-01-10 09:17:00,25015.5,25030.0,25015.3,25030.0
2025-01-10 09:18:00,25029.8,25030.0,25023.8,25023.8
2025-01-10 09:19:00,25024.7,25029.5,25019.4,25020.5
2025-01-10 09:20:00,25020.7,25020.8,25012.2,25020.0
2025-01-10 09:21:00,25015.5,25028.5,25015.5,25026.4
2025-01-10 09:22:00,25029.2,25032.5,25029.0,25029.0
2025-01-10 09:23:00,25028.7,25035.1,25023.3,25035.1
2025-01-10 09:24:00,25036.1,25039.1,25031.6,25038.4
2025-01-10 09:25:00,25040.0,25043.4,25040.0,25041.8
2025-01-10 09:26:00,25040.5,25042.5,25028.1,25042.5
2025-01-10 09:27:00,25043.7,25043.7,25043.6,25043.6
2025-01-10 09:28:00,25045.0,25048.0,25045.0,25048.0
2025-01-10 09:29:00,25047.4,25050.0,25047.4,25050.0
2025-01-10 09:30:00,25053.5,25055.0,25053.5,25055.0
2025-01-10 09:31:00,25055.1,25061.5,25051.9,25061.0
2025-01-10 09:32:00,25055.5,25055.5,25054.2,25055.0
2025-01-10 09:33:00,25050.1,25062.5,25050.1,25062.5
2025-01-10 09:34:00,25061.8,25063.9,25061.8,25063.9
2025-01-10 09:35:00,25067.5,25067.5,25059.0,25060.5
2025-01-10 09:36:00,25059.0,25065.0,25056.1,25059.1
2025-01-10 09:37:00,25066.8,25068.8,25066.8,25068.6
2025-01-10 09:38:00,25066.0,25066.0,25060.0,25064.3
2025-01-10 09:39:00,25060.3,25068.0,25060.3,25068.0
2025-01-10 09:40:00,25063.5,25067.8,25062.0,25067.8
2025-01-10 09:41:00,25068.0,25070.9,25068.0,25070.9
2025-01-10 09:42:00,25078.6,25078.6,25078.6,25078.6
2025-01-10 09:43:00,25071.5,25078.6,25071.5,25078.6
2025-01-10 09:44:00,25079.2,25082.9,25079.2,25082.9
2025-01-10 09:45:00,25085.0,25085.0,25080.3,25081.5
2025-01-10 09:46:00,25080.0,25084.9,25080.0,25084.9
2025-01-10 09:47:00,25082.0,25085.0,25082.0,25085.0
2025-01-10 09:48:00,25085.3,25090.9,25084.7,25089.5
2025-01-10 09:49:00,25098.9,25098.9,25098.9,25098.9
2025-01-10 09:50:00,25095.0,25095.0,25080.0,25080.0
2025-01-10 09:51:00,25073.7,25073.7,25073.7,25073.7
2025-01-10 09:52:00,25070.9,25070.9,25070.0,25070.0
2025-01-10 09:53:00,25068.0,25068.0,25061.5,25061.6
2025-01-10 09:54:00,25060.8,25079.9,25060.8,25070.2
2025-01-10 09:55:00,25080.0,25080.0,25080.0,25080.0
2025-01-10 09:56:00,25070.0,25075.0,25070.0,25075.0
2025-01-10 09:57:00,25064.0,25064.0,25064.0,25064.0
2025-01-10 09:58:00,25064.0,25064.0,25064.0,25064.0
2025-01-10 09:59:00,25064.0,25064.0,25064.0,25064.0
2025-01-10 10:00:00,25074.9,25075.0,25074.9,25075.0
2025-01-10 10:01:00,25071.8,25073.3,25071.8,25073.3
2025-01-10 10:02:00,25075.0,25076.5,25075.0,25076.5
2025-01-10 10:03:00,25067.1,25067.1,25030.0,25036.0
2025-01-10 10:04:00,25047.1,25048.0,25030.0,25045.1
2025-01-10 10:05:00,25040.9,25043.0,25024.2,25024.2
2025-01-10 10:06:00,25023.7,25035.5,25023.7,25035.5
2025-01-10 10:07:00,25040.0,25040.0,25040.0,25040.0
2025-01-10 10:08:00,25050.0,25055.5,25050.0,25052.3
2025-01-10 10:09:00,25051.0,25051.0,25051.0,25051.0
2025-01-10 10:10:00,25050.1,25050.1,25050.1,25050.1
2025-01-10 10:11:00,25050.2,25052.0,25050.2,25052.0
2025-01-10 10:12:00,25050.2,25050.2,25050.2,25050.2
2025-01-10 10:13:00,25049.1,25049.1,25049.1,25049.1
2025-01-10 10:14:00,25053.7,25053.7,25053.7,25053.7
2025-01-10 10:15:00,25060.0,25060.0,25049.5,25049.5
2025-01-10 10:16:00,25059.2,25059.2,25050.1,25050.1
2025-01-10 10:17:00,25051.0,25051.1,25050.1,25051.1
2025-01-10 10:18:00,25060.8,25064.4,25053.9,25056.8
2025-01-10 10:19:00,25060.0,25064.0,25052.8,25060.4
2025-01-10 10:20:00,25055.1,25062.6,25054.8,25062.3
2025-01-10 10:21:00,25060.2,25060.3,25049.9,25049.9
2025-01-10 10:22:00,25046.0,25052.0,25040.0,25046.0
2025-01-10 10:23:00,25050.0,25050.0,25050.0,25050.0
2025-01-10 10:24:00,25051.0,25051.0,25043.7,25049.6
2025-01-10 10:25:00,25055.0,25055.4,25048.0,25051.0
2025-01-10 10:26:00,25052.6,25052.6,25048.0,25048.0
2025-01-10 10:27:00,25048.0,25048.0,25048.0,25048.0
2025-01-10 10:28:00,25048.0,25048.0,25048.0,25048.0
2025-01-10 10:29:00,25062.6,25062.6,25062.6,25062.6
2025-01-10 10:30:00,25062.6,25062.6,25062.6,25062.6
2025-01-10 10:31:00,25070.0,25080.0,25070.0,25080.0
2025-01-10 10:32:00,25085.0,25086.0,25085.0,25086.0
2025-01-10 10:33:00,25092.9,25097.3,25083.5,25095.3
2025-01-10 10:34:00,25096.0,25096.4,25081.9,25081.9
2025-01-10 10:35:00,25081.9,25081.9,25081.9,25081.9
2025-01-10 10:36:00,25090.0,25090.0,25090.0,25090.0
2025-01-10 10:37:00,25090.0,25090.0,25090.0,25090.0
2025-01-10 10:38:00,25090.0,25090.0,25090.0,25090.0
2025-01-10 10:39:00,25080.0,25080.0,25080.0,25080.0
2025-01-10 10:40:00,25074.0,25074.0,25074.0,25074.0
2025-01-10 10:41:00,25078.0,25080.0,25078.0,25080.0
2025-01-10 10:42:00,25070.0,25070.0,25070.0,25070.0
2025-01-10 10:43:00,25070.0,25070.0,25070.0,25070.0
2025-01-10 10:44:00,25069.5,25069.5,25064.5,25064.5
2025-01-10 10:45:00,25064.5,25064.5,25064.5,25064.5
2025-01-10 10:46:00,25057.1,25057.1,25049.0,25049.0
2025-01-10 10:47:00,25050.0,25061.4,25050.0,25061.4
2025-01-10 10:48:00,25054.0,25060.9,25052.0,25060.9
2025-01-10 10:49:00,25060.9,25060.9,25060.9,25060.9
2025-01-10 10:50:00,25065.0,25065.0,25062.9,25062.9
2025-01-10 10:51:00,25062.9,25062.9,25062.9,25062.9
2025-01-10 10:52:00,25060.0,25060.0,25058.1,25058.1
2025-01-10 10:53:00,25058.1,25058.1,25058.1,25058.1
2025-01-10 10:54:00,25058.1,25058.1,25058.1,25058.1
2025-01-10 10:55:00,25058.1,25058.1,25058.1,25058.1
2025-01-10 10:56:00,25063.1,25070.0,25063.1,25063.9
2025-01-10 10:57:00,25070.0,25070.0,25065.8,25065.8
2025-01-10 10:58:00,25065.8,25065.8,25065.8,25065.8
2025-01-10 10:59:00,25077.1,25077.1,25075.0,25075.0
2025-01-10 11:00:00,25078.1,25078.1,25075.0,25075.0
2025-01-10 11:01:00,25075.0,25075.0,25075.0,25075.0
2025-01-10 11:02:00,25079.9,25079.9,25076.4,25076.4
