Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,80306,65,NIFTY,NIFTY30MAR27P28500,30-MAR-2027,OPTIDX,PE,28500,0.05,
NFO,80278,65,NIFTY,NIFTY30MAR27C28500,30-MAR-2027,OPTIDX,CE,28500,0.05,
NFO,80277,65,NIFTY,NIFTY30MAR27P27000,30-MAR-2027,OPTIDX,PE,27000,0.05,
NFO,80276,65,NIFTY,NIFTY30MAR27C27000,30-MAR-2027,OPTIDX,CE,27000,0.05,
NFO,80275,65,NIFTY,NIFTY30MAR27P25500,30-MAR-2027,OPTIDX,PE,25500,0.05,
NFO,80274,65,NIFTY,NIFTY30MAR27C25500,30-MAR-2027,OPTIDX,CE,25500,0.05,
NFO,80273,65,NIFTY,NIFTY30MAR27P24000,30-MAR-2027,OPTIDX,PE,24000,0.05,
NFO,80272,65,NIFTY,NIFTY30MAR27C24000,30-MAR-2027,OPTIDX,CE,24000,0.05,
NFO,80271,65,NIFTY,NIFTY30MAR27P22500,30-MAR-2027,OPTIDX,PE,22500,0.05,
NFO,80270,65,NIFTY,NIFTY30MAR27C22500,30-MAR-2027,OPTIDX,CE,22500,0.05,
NFO,80269,65,NIFTY,NIFTY30MAR27P21000,30-MAR-2027,OPTIDX,PE,21000,0.05,
NFO,80268,65,NIFTY,NIFTY30MAR27C21000,30-MAR-2027,OPTIDX,CE,21000,0.05,
NFO,80267,65,NIFTY,NIFTY30MAR27P19500,30-MAR-2027,OPTIDX,PE,19500,0.05,
NFO,80249,65,NIFTY,NIFTY30MAR27C19500,30-MAR-2027,OPTIDX,CE,19500,0.05,
NFO,80248,65,NIFTY,NIFTY30MAR27P18000,30-MAR-2027,OPTIDX,PE,18000,0.05,
NFO,80192,65,NIFTY,NIFTY30MAR27C18000,30-MAR-2027,OPTIDX,CE,18000,0.05,
NFO,80191,65,NIFTY,NIFTY30MAR27P16500,30-MAR-2027,OPTIDX,PE,16500,0.05,
NFO,80190,65,NIFTY,NIFTY30MAR27C16500,30-MAR-2027,OPTIDX,CE,16500,0.05,
NFO,80189,65,NIFTY,NIFTY30MAR27P15000,30-MAR-2027,OPTIDX,PE,15000,0.05,
NFO,80188,65,NIFTY,NIFTY30MAR27C15000,30-MAR-2027,OPTIDX,CE,15000,0.05,
NFO,80187,65,NIFTY,NIFTY30MAR27P13500,30-MAR-2027,OPTIDX,PE,13500,0.05,
NFO,80186,65,NIFTY,NIFTY30MAR27C13500,30-MAR-2027,OPTIDX,CE,13500,0.05,
NFO,80185,65,NIFTY,NIFTY30MAR27P12000,30-MAR-2027,OPTIDX,PE,12000,0.05,
NFO,80184,65,NIFTY,NIFTY30MAR27C12000,30-MAR-2027,OPTIDX,CE,12000,0.05,
NFO,80183,65,NIFTY,NIFTY30MAR27P10500,30-MAR-2027,OPTIDX,PE,10500,0.05,
NFO,80182,65,NIFTY,NIFTY30MAR27C10500,30-MAR-2027,OPTIDX,CE,10500,0.05,
NFO,80181,65,NIFTY,NIFTY30MAR27P9000,30-MAR-2027,OPTIDX,PE,9000,0.05,
NFO,80180,65,NIFTY,NIFTY30MAR27C9000,30-MAR-2027,OPTIDX,CE,9000,0.05,
NFO,80179,65,NIFTY,NIFTY30MAR27P7500,30-MAR-2027,OPTIDX,PE,7500,0.05,
NFO,80178,65,NIFTY,NIFTY30MAR27C7500,30-MAR-2027,OPTIDX,CE,7500,0.05,
NFO,80177,65,NIFTY,NIFTY30MAR27P6000,30-MAR-2027,OPTIDX,PE,6000,0.05,
NFO,80176,65,NIFTY,NIFTY30MAR27C6000,30-MAR-2027,OPTIDX,CE,6000,0.05,
NFO,80175,65,NIFTY,NIFTY30MAR27P4500,30-MAR-2027,OPTIDX,PE,4500,0.05,
NFO,80174,65,NIFTY,NIFTY30MAR27C4500,30-MAR-2027,OPTIDX,CE,4500,0.05,
NFO,80173,65,NIFTY,NIFTY30MAR27P3000,30-MAR-2027,OPTIDX,PE,3000,0.05,
NFO,80172,65,NIFTY,NIFTY30MAR27C3000,30-MAR-2027,OPTIDX,CE,3000,0.05,
NFO,80171,65,NIFTY,NIFTY30MAR27P1500,30-MAR-2027,OPTIDX,PE,1500,0.05,
NFO,80167,65,NIFTY,NIFTY30MAR27C1500,30-MAR-2027,OPTIDX,CE,1500,0.05,
NFO,77092,25,NIFTYNXT50,NIFTYNXT5029SEP26P101500,29-SEP-2026,OPTIDX,PE,101500,0.05,
NFO,77091,25,NIFTYNXT50,NIFTYNXT5029SEP26C101500,29-SEP-2026,OPTIDX,CE,101500,0.05,
NFO,77090,25,NIFTYNXT50,NIFTYNXT5029SEP26P101000,29-SEP-2026,OPTIDX,PE,101000,0.05,
NFO,77089,25,NIFTYNXT50,NIFTYNXT5029SEP26C101000,29-SEP-2026,OPTIDX,CE,101000,0.05,
NFO,77088,25,NIFTYNXT50,NIFTYNXT5029SEP26P100500,29-SEP-2026,OPTIDX,PE,100500,0.05,
NFO,77087,25,NIFTYNXT50,NIFTYNXT5029SEP26C100500,29-SEP-2026,OPTIDX,CE,100500,0.05,
NFO,77086,25,NIFTYNXT50,NIFTYNXT5029SEP26P100000,29-SEP-2026,OPTIDX,PE,100000,0.05,
NFO,77085,25,NIFTYNXT50,NIFTYNXT5029SEP26C100000,29-SEP-2026,OPTIDX,CE,100000,0.05,
NFO,77084,25,NIFTYNXT50,NIFTYNXT5029SEP26P99500,29-SEP-2026,OPTIDX,PE,99500,0.05,
NFO,77083,25,NIFTYNXT50,NIFTYNXT5029SEP26C99500,29-SEP-2026,OPTIDX,CE,99500,0.05,
NFO,77082,25,NIFTYNXT50,NIFTYNXT5029SEP26P99000,29-SEP-2026,OPTIDX,PE,99000,0.05,
NFO,77081,25,NIFTYNXT50,NIFTYNXT5029SEP26C99000,29-SEP-2026,OPTIDX,CE,99000,0.05,
NFO,77080,25,NIFTYNXT50,NIFTYNXT5029SEP26P98500,29-SEP-2026,OPTIDX,PE,98500,0.05,
NFO,77079,25,NIFTYNXT50,NIFTYNXT5029SEP26C98500,29-SEP-2026,OPTIDX,CE,98500,0.05,
NFO,77078,25,NIFTYNXT50,NIFTYNXT5029SEP26P98000,29-SEP-2026,OPTIDX,PE,98000,0.05,
NFO,77077,25,NIFTYNXT50,NIFTYNXT5029SEP26C98000,29-SEP-2026,OPTIDX,CE,98000,0.05,
NFO,77076,25,NIFTYNXT50,NIFTYNXT5029SEP26P97500,29-SEP-2026,OPTIDX,PE,97500,0.05,
NFO,77075,25,NIFTYNXT50,NIFTYNXT5029SEP26C97500,29-SEP-2026,OPTIDX,CE,97500,0.05,
NFO,77072,25,NIFTYNXT50,NIFTYNXT5029SEP26P97000,29-SEP-2026,OPTIDX,PE,97000,0.05,
NFO,77071,25,NIFTYNXT50,NIFTYNXT5029SEP26C97000,29-SEP-2026,OPTIDX,CE,97000,0.05,
NFO,77070,25,NIFTYNXT50,NIFTYNXT5029SEP26P96500,29-SEP-2026,OPTIDX,PE,96500,0.05,
NFO,77069,25,NIFTYNXT50,NIFTYNXT5029SEP26C96500,29-SEP-2026,OPTIDX,CE,96500,0.05,
NFO,77068,25,NIFTYNXT50,NIFTYNXT5029SEP26P96000,29-SEP-2026,OPTIDX,PE,96000,0.05,
NFO,77067,25,NIFTYNXT50,NIFTYNXT5029SEP26C96000,29-SEP-2026,OPTIDX,CE,96000,0.05,
NFO,77064,25,NIFTYNXT50,NIFTYNXT5029SEP26P95500,29-SEP-2026,OPTIDX,PE,95500,0.05,
NFO,77063,25,NIFTYNXT50,NIFTYNXT5029SEP26C95500,29-SEP-2026,OPTIDX,CE,95500,0.05,
NFO,77062,25,NIFTYNXT50,NIFTYNXT5029SEP26P95000,29-SEP-2026,OPTIDX,PE,95000,0.05,
NFO,77061,25,NIFTYNXT50,NIFTYNXT5029SEP26C95000,29-SEP-2026,OPTIDX,CE,95000,0.05,
NFO,77047,25,NIFTYNXT50,NIFTYNXT5029SEP26P94500,29-SEP-2026,OPTIDX,PE,94500,0.05,
NFO,77046,25,NIFTYNXT50,NIFTYNXT5029SEP26C94500,29-SEP-2026,OPTIDX,CE,94500,0.05,
NFO,77045,25,NIFTYNXT50,NIFTYNXT5029SEP26P94000,29-SEP-2026,OPTIDX,PE,94000,0.05,
NFO,77044,25,NIFTYNXT50,NIFTYNXT5029SEP26C94000,29-SEP-2026,OPTIDX,CE,94000,0.05,
NFO,77043,25,NIFTYNXT50,NIFTYNXT5029SEP26P93500,29-SEP-2026,OPTIDX,PE,93500,0.05,
NFO,77042,25,NIFTYNXT50,NIFTYNXT5029SEP26C93500,29-SEP-2026,OPTIDX,CE,93500,0.05,
NFO,77041,25,NIFTYNXT50,NIFTYNXT5029SEP26P93000,29-SEP-2026,OPTIDX,PE,93000,0.05,
NFO,77040,25,NIFTYNXT50,NIFTYNXT5029SEP26C93000,29-SEP-2026,OPTIDX,CE,93000,0.05,
NFO,77031,25,NIFTYNXT50,NIFTYNXT5029SEP26P92500,29-SEP-2026,OPTIDX,PE,92500,0.05,
NFO,77030,25,NIFTYNXT50,NIFTYNXT5029SEP26C92500,29-SEP-2026,OPTIDX,CE,92500,0.05,
NFO,77026,25,NIFTYNXT50,NIFTYNXT5029SEP26P92000,29-SEP-2026,OPTIDX,PE,92000,0.05,
NFO,77025,25,NIFTYNXT50,NIFTYNXT5029SEP26C92000,29-SEP-2026,OPTIDX,CE,92000,0.05,
NFO,77020,25,NIFTYNXT50,NIFTYNXT5029SEP26P91500,29-SEP-2026,OPTIDX,PE,91500,0.05,
NFO,77019,25,NIFTYNXT50,NIFTYNXT5029SEP26C91500,29-SEP-2026,OPTIDX,CE,91500,0.05,
NFO,77018,25,NIFTYNXT50,NIFTYNXT5029SEP26P91000,29-SEP-2026,OPTIDX,PE,91000,0.05,
NFO,77017,25,NIFTYNXT50,NIFTYNXT5029SEP26C91000,29-SEP-2026,OPTIDX,CE,91000,0.05,
NFO,77016,25,NIFTYNXT50,NIFTYNXT5029SEP26P90500,29-SEP-2026,OPTIDX,PE,90500,0.05,
NFO,77015,25,NIFTYNXT50,NIFTYNXT5029SEP26C90500,29-SEP-2026,OPTIDX,CE,90500,0.05,
